epoch,split,loss,accuracy,balanced_accuracy,sensitivity_melanoma,specificity,precision_melanoma,f1_melanoma,auc
1,train,0.7203256758061588,0.6105089538171536,0.5262987963984262,0.418554476806904,0.6340431159899484,0.12297939778129953,0.1901028907398334,0.5333863505266836
1,val,0.5544766762636031,0.7950229207596594,0.5244220730797912,0.16666666666666666,0.8821774794929157,0.164021164021164,0.16533333333333333,0.5047930047388804
2,train,0.6683611281068678,0.7537700282752121,0.5399838237637727,0.2664509169363538,0.8135167305911917,0.14906457453228728,0.19117647058823528,0.582178076420375
2,val,0.5263262177770561,0.8159790438768828,0.5432994154578913,0.1827956989247312,0.9038031319910514,0.2085889570552147,0.19484240687679083,0.5806692165211325
3,train,0.6378399694336685,0.7853440150801131,0.5690642394037306,0.2923408845738943,0.845787594233567,0.1885873347251218,0.22927241962774958,0.6426218143493688
3,val,0.5043297964681889,0.8316961362148002,0.5661398571119289,0.21505376344086022,0.9172259507829977,0.26490066225165565,0.23738872403560832,0.6375297683481272
4,train,0.07475764247300025,0.9843308199811499,0.9684890827526196,0.948220064724919,0.9887581007803201,0.9118257261410788,0.9296668429402433,0.9954555876141221
4,val,0.34944774868904804,0.8722986247544204,0.5637884583002574,0.15591397849462366,0.9716629381058911,0.43283582089552236,0.22924901185770752,0.8028052408329526
5,train,0.03568795223851051,0.9954052780395853,0.991742029979254,0.9870550161812298,0.9964290437772781,0.9713375796178344,0.9791332263242376,0.9974570722667433
5,val,0.2955796757875195,0.8749181401440733,0.5282348271631666,0.06989247311827956,0.9865771812080537,0.41935483870967744,0.11981566820276497,0.8329584726532119
6,train,0.019734260323975857,0.9939915174363808,0.9914217296588252,0.9881337648327939,0.9947096944848565,0.9581589958158996,0.9729155602761551,0.9996282661537296
6,val,0.4760429650693327,0.879502292075966,0.5053763440860215,0.010752688172043012,1.0,1.0,0.02127659574468085,0.7785996648304507
7,train,0.0206157494612373,0.9968190386427899,0.9934820668202111,0.9892125134843581,0.997751620156064,0.9817987152034261,0.9854916711445459,0.9989941571229297
7,val,0.31539167937552454,0.876882776686313,0.5362993432921989,0.08602150537634409,0.9865771812080537,0.47058823529411764,0.14545454545454545,0.791046242172027
8,train,0.01403681525242597,0.9965834118755891,0.9961892822233893,0.9956850053937433,0.9966935590530354,0.9736286919831224,0.9845333333333334,0.9998791561820031
8,val,0.30903866524322016,0.8840864440078585,0.5913377113853407,0.20430107526881722,0.9783743475018642,0.5671641791044776,0.30039525691699603,0.8123291076311212
9,train,0.015166900775237444,0.9967012252591895,0.9962554110423285,0.9956850053937433,0.9968258166909139,0.9746568109820486,0.9850586979722519,0.9997537468360536
9,val,0.33321037259594477,0.8781925343811395,0.5231531596545669,0.053763440860215055,0.9925428784489188,0.5,0.0970873786407767,0.7654975824493037
10,train,0.01273098079862575,0.998114985862394,0.9961024658559146,0.9935275080906149,0.9986774236212141,0.9892588614393125,0.9913885898815931,0.9996038691137326
10,val,0.5186663746072032,0.8788474132285528,0.5026881720430108,0.005376344086021506,1.0,1.0,0.0106951871657754,0.7601713534274694
11,train,0.013019622489305268,0.9988218661639963,0.9979189752900787,0.9967637540453075,0.9990741965348499,0.9924812030075187,0.9946178686759957,0.9991855526150702
11,val,0.4325945068787498,0.8434839554682384,0.5844278463351855,0.24193548387096775,0.9269202087994034,0.3146853146853147,0.2735562310030395,0.700975439609343
12,train,0.016746297872153596,0.9961121583411876,0.9949782759339465,0.9935275080906149,0.9964290437772781,0.9715189873417721,0.9824,0.9997623785373388
12,val,0.45054155168749915,0.8801571709233792,0.5080645161290323,0.016129032258064516,1.0,1.0,0.031746031746031744,0.7738888487968376
13,train,0.007655003228432381,0.9979971724787936,0.9969828280506607,0.9956850053937433,0.9982806507075783,0.9861111111111112,0.9908749329039184,0.9999600516304142
13,val,0.40458342272418685,0.8749181401440733,0.5374960910249934,0.0913978494623656,0.9835943325876212,0.4358974358974359,0.1511111111111111,0.7600851555170672
14,train,0.010105632760820372,0.9977615457115928,0.9968505704127822,0.9956850053937433,0.9980161354318212,0.9840085287846482,0.9898123324396783,0.9999288062984882
