epoch,split,loss,accuracy,balanced_accuracy,sensitivity_melanoma,specificity,precision_melanoma,f1_melanoma,auc
1,train,0.6584713628110068,0.8806550424128181,0.5018848496807056,0.017259978425026967,0.9865097209363841,0.13559322033898305,0.03062200956937799,0.578654772895659
1,val,0.5585972254543267,0.8781925343811395,0.5,0.0,1.0,0.0,0.0,0.58763320584061
2,train,0.598375069207453,0.8938501413760603,0.51497022348402,0.030204962243797196,0.9997354847242428,0.9333333333333333,0.05851619644723093,0.8126537744717648
2,val,0.5405166799442863,0.8781925343811395,0.5115765798272834,0.026881720430107527,0.9962714392244594,0.5,0.05102040816326531,0.7015226961102692
3,train,0.48589334140455354,0.9223609802073516,0.7510325583492307,0.5318230852211435,0.9702420314773178,0.6866295264623955,0.5993920972644377,0.9138154587920441
3,val,0.5323112996559792,0.7838899803536346,0.6801556373433403,0.543010752688172,0.8173005219985086,0.29190751445086704,0.37969924812030076,0.7493926054220491
4,train,0.2784216645841718,0.9453345900094251,0.8992758929994334,0.8403451995685005,0.9582065864303664,0.7114155251141553,0.7705242334322453,0.971643648558784
4,val,0.4956024189985259,0.7576948264571054,0.6837639219648313,0.5860215053763441,0.7815063385533184,0.27114427860696516,0.3707482993197279,0.7600129898246375
5,train,0.12491236351742906,0.977497643732328,0.9575549286514986,0.9320388349514563,0.9830710223515408,0.8709677419354839,0.9004689942678479,0.9908245015335181
5,val,0.5014776328692033,0.7642436149312377,0.6782312188785451,0.5645161290322581,0.7919463087248322,0.2734375,0.3684210526315789,0.7364629188617065
6,train,0.0740864875824713,0.985626767200754,0.9720559728020086,0.9546925566343042,0.989419388969713,0.917098445595855,0.9355179704016914,0.9961138796757961
6,val,0.493038398343594,0.7616240995415848,0.6559019508792187,0.5161290322580645,0.7956748695003728,0.2594594594594595,0.34532374100719426,0.7161963869043324
7,train,0.05280975261255467,0.9895146088595664,0.9799171699091189,0.9676375404530745,0.9921967993651634,0.9382845188284519,0.9527349973446628,0.9968114067433133
7,val,0.5157240204508193,0.7603143418467584,0.6829400303095908,0.5806451612903226,0.785234899328859,0.2727272727272727,0.3711340206185567,0.7169641496876829
8,train,0.04028375931527434,0.9934024505183789,0.9877783670162292,0.9805825242718447,0.9949742097606137,0.9598732840549102,0.9701173959445037,0.9980714924582472
8,val,0.47339285735453196,0.7832351015062213,0.651998989680306,0.478494623655914,0.825503355704698,0.2755417956656347,0.34970530451866405,0.7090579971614829
9,train,0.03150058574105537,0.9942271442035815,0.9896610052693326,0.9838187702265372,0.995503240312128,0.9640591966173362,0.9738387613454351,0.9992459031876944
9,val,0.4172449056120112,0.8356254092992796,0.6332058406100407,0.3655913978494624,0.9008202833706189,0.3383084577114428,0.35142118863049093,0.6946709645345714
10,train,0.03675713622964511,0.9931668237511782,0.9857531273509794,0.9762675296655879,0.9952387250363709,0.9617428267800212,0.9689507494646681,0.9972451318988158
10,val,0.5392281288170081,0.7275703994760969,0.661981910466431,0.5752688172043011,0.7486950037285608,0.240990990990991,0.3396825396825397,0.7335923279850537
11,train,0.03183783880218997,0.9932846371347785,0.9886587292109754,0.982740021574973,0.9945774368469779,0.9569327731092437,0.9696647152740819,0.9990376723112286
11,val,0.43425077793249994,0.8100851342501637,0.6325563493781723,0.3978494623655914,0.8672632363907532,0.29365079365079366,0.3378995433789954,0.7027074162276586
12,train,0.029896357661033265,0.9938737040527804,0.9875696367851435,0.9795037756202805,0.9956354979500066,0.9649309245483528,0.9721627408993576,0.9985055029592469
12,val,0.48353794109766673,0.7590045841519318,0.6590411584999158,0.5268817204301075,0.7912005965697241,0.25925925925925924,0.3475177304964539,0.7182932011899321
13,train,0.020359513107454624,0.9957587181903864,0.9928869074497575,0.9892125134843581,0.9965613014151568,0.9724284199363733,0.9807486631016042,0.9980728478493581
13,val,0.5258757863937833,0.7360838244924689,0.6645137235091771,0.5698924731182796,0.7591349739000746,0.24708624708624707,0.34471544715447155,0.7341195384603049
14,train,0.017159405603199937,0.9951696512723845,0.9911365268345326,0.9859762675296656,0.9962967861393995,0.970276008492569,0.9780631353665061,0.999688402717231
14,val,0.40603781310498677,0.8519973804846104,0.6656804022034591,0.41935483870967744,0.9120059656972409,0.3979591836734694,0.4083769633507853,0.7134841596305117
