epoch,split,loss,accuracy,balanced_accuracy,sensitivity_melanoma,specificity,precision_melanoma,f1_melanoma,auc
1,train,0.6494782576855346,0.8757068803016023,0.5028934033399975,0.025889967637540454,0.9798968390424547,0.13636363636363635,0.043517679057116954,0.6029722014990054
1,val,0.5490717921447504,0.8781925343811395,0.5,0.0,1.0,0.0,0.0,0.6161566957734959
2,train,0.6230962632625986,0.8909048067860509,0.5010126198326249,0.002157497303128371,0.9998677423621214,0.6666666666666666,0.004301075268817204,0.7224263155889808
2,val,0.5575213812111091,0.8781925343811395,0.5,0.0,1.0,0.0,0.0,0.6801195544971252
3,train,0.6066895170553352,0.8914938737040528,0.5041827369683781,0.008629989212513484,0.9997354847242428,0.8,0.017075773745997867,0.7937487792562954
3,val,0.5425707158030602,0.8781925343811395,0.5,0.0,1.0,0.0,0.0,0.676505256067932
4,train,0.5053267201564988,0.9147031102733271,0.6449864011469748,0.2998921251348436,0.990080677159106,0.7875354107648725,0.434375,0.8995202914176492
4,val,0.5526628963058886,0.7688277668631304,0.6646339996632268,0.5268817204301075,0.8023862788963461,0.2699724517906336,0.3570127504553734,0.7815965456688556
5,train,0.2947339638224983,0.9513430725730443,0.8841918879984683,0.7982740021574973,0.9701097738394392,0.7660455486542443,0.7818277865821447,0.9753547094205531
5,val,0.7042205759959043,0.5337262606417813,0.7113733131269395,0.946236559139785,0.47651006711409394,0.20045558086560364,0.3308270676691729,0.8143557608268585
6,train,0.11959372706883337,0.9791470311027333,0.9617934506645482,0.9395900755124056,0.9839968258166909,0.8780241935483871,0.907764460656592,0.9956760170105865
6,val,0.8020709198365902,0.4394237066142764,0.6646279858555243,0.9623655913978495,0.3668903803131991,0.17412451361867703,0.29489291598023065,0.8090094857793494
7,train,0.06435123217609447,0.9863336475023563,0.9786049373046007,0.9687162891046386,0.9884935855045629,0.9116751269035533,0.9393305439330544,0.9973458588592715
7,val,0.721930846093758,0.5284872298624754,0.68523730485194,0.8924731182795699,0.4780014914243102,0.19168591224018475,0.3155893536121673,0.790466912030021
8,train,0.0469386945721653,0.9891611687087654,0.9825582564933577,0.9741100323624595,0.991006480624256,0.9299691040164778,0.9515279241306639,0.9989490011980231
8,val,0.8213115249807411,0.412573673870334,0.6423949387794377,0.946236559139785,0.33855331841909025,0.16556914393226718,0.28182546036829464,0.8063072815183662
9,train,0.030763334193248056,0.9912818096135722,0.9889542758095359,0.9859762675296656,0.9919322840894061,0.9374358974358974,0.961093585699264,0.9995266118204087
9,val,0.7345824109703868,0.5114603798297315,0.6801736787664477,0.9032258064516129,0.4571215510812826,0.1875,0.31053604436229204,0.7931751300987067
10,train,0.02894645093776822,0.9915174363807728,0.9871935514200433,0.9816612729234089,0.9927258299166777,0.9430051813471503,0.9619450317124736,0.9994778890767889
10,val,0.7520029774739528,0.5042567125081859,0.6737569459478964,0.8978494623655914,0.44966442953020136,0.18453038674033148,0.30614115490375804,0.7861750579330141
11,train,0.02614984243187795,0.9917530631479736,0.9882723000716074,0.9838187702265372,0.9927258299166777,0.9431230610134437,0.9630411826821542,0.9995010733984235
11,val,0.6798518370707674,0.5887360838244925,0.7056481681941738,0.8602150537634409,0.5510812826249067,0.2099737532808399,0.33755274261603374,0.7863173847153064
12,train,0.03051231460645301,0.9930490103675778,0.9894729625867824,0.9848975188781014,0.9940484062954635,0.9530271398747391,0.9687002652519894,0.9985139919877839
12,val,0.6347540348826785,0.6489849377865095,0.7121671357436674,0.7956989247311828,0.6286353467561522,0.22910216718266255,0.3557692307692308,0.7819333189001948
13,train,0.013358745317311502,0.9961121583411876,0.9963980124544749,0.9967637540453075,0.9960322708636423,0.9685534591194969,0.9824561403508771,0.9999326584626982
13,val,0.6779764476131597,0.6201702685003274,0.7119686800894856,0.8333333333333334,0.5906040268456376,0.22017045454545456,0.34831460674157305,0.7949010929093198
