Model,Accuracy,Balanced Acc,Sensitivity (mel),Specificity,Precision (mel),F1 (mel),AUC
CNN,0.722,0.734,0.749,0.719,0.253,0.379,0.805
Attention-CNN,0.764,0.698,0.614,0.783,0.265,0.37,0.78
DeiT,0.881,0.606,0.251,0.961,0.453,0.323,0.808
